Genre1,Genre2,Count
Mahou Shoujo,Sci-Fi,0.03144028592
Sci-Fi,Mahou Shoujo,0.03144028592
Sci-Fi,Sports,0.03001880393
Sports,Sci-Fi,0.03001880393
Hentai,Romance,0.02623053072
Romance,Hentai,0.02623053072
Horror,Sci-Fi,0.02016378432
Sci-Fi,Horror,0.02016378432
Mystery,Romance,0.01690319917
Romance,Mystery,0.01690319917
Psychological,Sci-Fi,0.01378133794
Sci-Fi,Psychological,0.01378133794
Psychological,Action,0.003931132265
Adventure,Sports,0.0004221764192
Sports,Adventure,0.0004221764192
Mecha,Romance,-0.004952015783
Romance,Mecha,-0.004952015783
Mahou Shoujo,Supernatural,-0.01070827495
Supernatural,Mahou Shoujo,-0.01070827495
Comedy,Music,-0.01176339269
Music,Comedy,-0.01176339269
Adventure,Slice of Life,-0.01478812622
Slice of Life,Adventure,-0.01478812622
Mecha,Mystery,-0.0184061525
Mystery,Mecha,-0.0184061525
Music,Romance,-0.022998381
Romance,Music,-0.022998381
Mecha,Sports,-0.02302478475
Sports,Mecha,-0.02302478475
Drama,Music,-0.02690918618
Music,Drama,-0.02690918618
Thriller,Mecha,-0.03969229912
Music,Psychological,-0.03998018698
Psychological,Music,-0.03998018698
Fantasy,Sports,-0.04043036707
Sports,Fantasy,-0.04043036707
Mahou Shoujo,Mecha,-0.04781772265
Mecha,Mahou Shoujo,-0.04781772265
Mecha,Supernatural,-0.05127286817
Supernatural,Mecha,-0.05127286817
Mahou Shoujo,Music,-0.05391152419
Music,Mahou Shoujo,-0.05391152419
Mahou Shoujo,Sports,-0.05471717837
Sports,Mahou Shoujo,-0.05471717837
Comedy,Horror,-0.05785643282
Horror,Comedy,-0.05785643282
Horror,Mecha,-0.05803886589
Mecha,Horror,-0.05803886589
Music,Sports,-0.06330496548
Sports,Music,-0.06330496548
Mecha,Psychological,-0.06710599809
Psychological,Mecha,-0.06710599809
Psychological,Romance,-0.07501262271
Romance,Psychological,-0.07501262271
Fantasy,Psychological,-0.07569252833
Psychological,Fantasy,-0.07569252833
Ecchi,Mystery,-0.07597297764
Mystery,Ecchi,-0.07597297764
Fantasy,Music,-0.07605807533
Music,Fantasy,-0.07605807533
Sports,Supernatural,-0.07632686595
Supernatural,Sports,-0.07632686595
Fantasy,Hentai,-0.07859384029
Hentai,Fantasy,-0.07859384029
Music,Sci-Fi,-0.08438367565
Sci-Fi,Music,-0.08438367565
Adventure,Psychological,-0.0888511942
Psychological,Adventure,-0.0888511942
Hentai,Horror,-0.09032709288
Horror,Hentai,-0.09032709288
Mecha,Music,-0.09175812422
Music,Mecha,-0.09175812422
Sci-Fi,Slice of Life,-0.09791777798
Slice of Life,Sci-Fi,-0.09791777798
Hentai,Supernatural,-0.09944708267
Supernatural,Hentai,-0.09944708267
Thriller,Adventure,-0.1005698092
Comedy,Hentai,-0.1008358547
Hentai,Comedy,-0.1008358547
Thriller,Fantasy,-0.1022271978
Thriller,Slice of Life,-0.1025537809
Slice of Life,Action,-0.1030317061
Psychological,Slice of Life,-0.1039277198
Slice of Life,Psychological,-0.1039277198
Mystery,Slice of Life,-0.106895622
Slice of Life,Mystery,-0.106895622
Hentai,Mahou Shoujo,-0.108191644
Mahou Shoujo,Hentai,-0.108191644
Ecchi,Horror,-0.1082594238
Horror,Ecchi,-0.1082594238
Adventure,Music,-0.1084670729
Music,Adventure,-0.1084670729
Mahou Shoujo,Mystery,-0.1088621007
Mystery,Mahou Shoujo,-0.1088621007
Hentai,Music,-0.1108858212
Music,Hentai,-0.1108858212
Ecchi,Hentai,-0.1113045671
Hentai,Ecchi,-0.1113045671
Ecchi,Music,-0.1118022635
Music,Ecchi,-0.1118022635
Music,Action,-0.1130556197
Horror,Romance,-0.1166521406
Romance,Horror,-0.1166521406
Hentai,Sports,-0.1273725433
Sports,Hentai,-0.1273725433
Mystery,Sports,-0.1280170886
Sports,Mystery,-0.1280170886
Adventure,Hentai,-0.1334813099
Hentai,Adventure,-0.1334813099
Hentai,Slice of Life,-0.1344549775
Slice of Life,Hentai,-0.1344549775
Hentai,Action,-0.1361706929
Comedy,Psychological,-0.1374856744
Psychological,Comedy,-0.1374856744
Music,Supernatural,-0.1438779938
Supernatural,Music,-0.1438779938
Drama,Hentai,-0.1459618187
Hentai,Drama,-0.1459618187
Hentai,Sci-Fi,-0.1470859155
Sci-Fi,Hentai,-0.1470859155
Hentai,Mecha,-0.1517000171
Mecha,Hentai,-0.1517000171
Mahou Shoujo,Psychological,-0.1606880231
Psychological,Mahou Shoujo,-0.1606880231
Psychological,Sports,-0.166752794
Sports,Psychological,-0.166752794
Mecha,Slice of Life,-0.1675694288
Slice of Life,Mecha,-0.1675694288
Horror,Mahou Shoujo,-0.1769608731
Mahou Shoujo,Horror,-0.1769608731
Music,Mystery,-0.181710395
Mystery,Music,-0.181710395
Thriller,Romance,-0.1819742706
Hentai,Mystery,-0.1821171724
Mystery,Hentai,-0.1821171724
Hentai,Psychological,-0.1839705473
Psychological,Hentai,-0.1839705473
Horror,Sports,-0.1842144521
Sports,Horror,-0.1842144521
Thriller,Sports,-0.1900080268
Horror,Music,-0.1960376906
Music,Horror,-0.1960376906
Ecchi,Psychological,-0.1964096675
Psychological,Ecchi,-0.1964096675
Thriller,Comedy,-0.1966050668
Horror,Slice of Life,-0.2155194663
Slice of Life,Horror,-0.2155194663
Thriller,Mahou Shoujo,-0.2182513546
Thriller,Music,-0.2275465202
Thriller,Hentai,-0.2422824018
Thriller,Ecchi,-0.265173638
