"genre1","id1","size1","genre2","id2","size2","cnt"
"Hentai",7,1409,"Comedy",3,5654,57
"Hentai",7,1409,"Drama",4,2636,29
"Hentai",7,1409,"Ecchi",5,863,14
"Hentai",7,1409,"Fantasy",6,3352,87
"Hentai",7,1409,"Hentai",7,1409,1409
"Hentai",7,1409,"Horror",8,484,40
"Hentai",7,1409,"Mahou Shoujo",9,373,16
"Hentai",7,1409,"Mecha",10,1068,7
"Hentai",7,1409,"Music",11,1826,4
"Hentai",7,1409,"Mystery",12,761,10
"Hentai",7,1409,"Psychological",13,699,5
"Hentai",7,1409,"Romance",14,2198,186
"Hentai",7,1409,"Sci-Fi",15,2516,31
"Hentai",7,1409,"Slice of Life",16,1988,3
"Hentai",7,1409,"Sports",17,720,7
"Hentai",7,1409,"Supernatural",18,1397,62
"Hentai",7,1409,"Thriller",19,173,1
"Horror",8,484,"Action",1,3978,177
"Horror",8,484,"Adventure",2,3058,73
"Horror",8,484,"Comedy",3,5654,77
"Horror",8,484,"Drama",4,2636,127
"Horror",8,484,"Ecchi",5,863,24
"Horror",8,484,"Fantasy",6,3352,103
"Horror",8,484,"Hentai",7,1409,40
"Horror",8,484,"Horror",8,484,484
"Horror",8,484,"Mahou Shoujo",9,373,3
"Horror",8,484,"Mecha",10,1068,18
"Horror",8,484,"Music",11,1826,11
"Horror",8,484,"Mystery",12,761,120
"Horror",8,484,"Psychological",13,699,92
"Horror",8,484,"Romance",14,2198,37
"Horror",8,484,"Sci-Fi",15,2516,82
"Horror",8,484,"Slice of Life",16,1988,7
"Horror",8,484,"Sports",17,720,2
"Horror",8,484,"Supernatural",18,1397,231
"Horror",8,484,"Thriller",19,173,41
"Mahou Shoujo",9,373,"Action",1,3978,110
"Mahou Shoujo",9,373,"Adventure",2,3058,69
"Mahou Shoujo",9,373,"Comedy",3,5654,167
"Mahou Shoujo",9,373,"Drama",4,2636,80
"Mahou Shoujo",9,373,"Ecchi",5,863,26
"Mahou Shoujo",9,373,"Fantasy",6,3352,176
"Mahou Shoujo",9,373,"Hentai",7,1409,16
"Mahou Shoujo",9,373,"Horror",8,484,3
"Mahou Shoujo",9,373,"Mahou Shoujo",9,373,373
"Mahou Shoujo",9,373,"Mecha",10,1068,7
"Mahou Shoujo",9,373,"Music",11,1826,32
"Mahou Shoujo",9,373,"Mystery",12,761,9
"Mahou Shoujo",9,373,"Psychological",13,699,18
"Mahou Shoujo",9,373,"Romance",14,2198,67
"Mahou Shoujo",9,373,"Sci-Fi",15,2516,43
"Mahou Shoujo",9,373,"Slice of Life",16,1988,31
"Mahou Shoujo",9,373,"Sports",17,720,3
"Mahou Shoujo",9,373,"Supernatural",18,1397,14
"Mahou Shoujo",9,373,"Thriller",19,173,9
"Mecha",10,1068,"Action",1,3978,661
"Mecha",10,1068,"Adventure",2,3058,304
"Mecha",10,1068,"Comedy",3,5654,224
"Mecha",10,1068,"Drama",4,2636,217
"Mecha",10,1068,"Ecchi",5,863,45
"Mecha",10,1068,"Fantasy",6,3352,91
"Mecha",10,1068,"Hentai",7,1409,7
"Mecha",10,1068,"Horror",8,484,18
"Mecha",10,1068,"Mahou Shoujo",9,373,7
"Mecha",10,1068,"Mecha",10,1068,1068
"Mecha",10,1068,"Music",11,1826,47
"Mecha",10,1068,"Mystery",12,761,25
"Mecha",10,1068,"Psychological",13,699,31
"Mecha",10,1068,"Romance",14,2198,97
"Mecha",10,1068,"Sci-Fi",15,2516,801
"Mecha",10,1068,"Slice of Life",16,1988,12
"Mecha",10,1068,"Sports",17,720,13
"Mecha",10,1068,"Supernatural",18,1397,23
"Mecha",10,1068,"Thriller",19,173,10
"Music",11,1826,"Action",1,3978,90
"Music",11,1826,"Adventure",2,3058,52
"Music",11,1826,"Comedy",3,5654,195
"Music",11,1826,"Drama",4,2636,165
"Music",11,1826,"Ecchi",5,863,14
"Music",11,1826,"Fantasy",6,3352,104
"Music",11,1826,"Hentai",7,1409,4
"Music",11,1826,"Horror",8,484,11
"Music",11,1826,"Mahou Shoujo",9,373,32
"Music",11,1826,"Mecha",10,1068,47
"Music",11,1826,"Music",11,1826,1826
"Music",11,1826,"Mystery",12,761,14
"Music",11,1826,"Psychological",13,699,75
"Music",11,1826,"Romance",14,2198,133
"Music",11,1826,"Sci-Fi",15,2516,101
"Music",11,1826,"Slice of Life",16,1988,200
"Music",11,1826,"Sports",17,720,26
"Music",11,1826,"Supernatural",18,1397,36
"Music",11,1826,"Thriller",19,173,1
"Mystery",12,761,"Action",1,3978,265
"Mystery",12,761,"Adventure",2,3058,168
"Mystery",12,761,"Comedy",3,5654,188
"Mystery",12,761,"Drama",4,2636,261
"Mystery",12,761,"Ecchi",5,863,18
"Mystery",12,761,"Fantasy",6,3352,144
"Mystery",12,761,"Hentai",7,1409,10
"Mystery",12,761,"Horror",8,484,120
"Mystery",12,761,"Mahou Shoujo",9,373,9
"Mystery",12,761,"Mecha",10,1068,25
"Mystery",12,761,"Music",11,1826,14
"Mystery",12,761,"Mystery",12,761,761
"Mystery",12,761,"Psychological",13,699,160
"Mystery",12,761,"Romance",14,2198,103
"Mystery",12,761,"Sci-Fi",15,2516,139
"Mystery",12,761,"Slice of Life",16,1988,36
"Mystery",12,761,"Sports",17,720,4
"Mystery",12,761,"Supernatural",18,1397,262
"Mystery",12,761,"Thriller",19,173,80
"Psychological",13,699,"Action",1,3978,140
"Psychological",13,699,"Adventure",2,3058,58
"Psychological",13,699,"Comedy",3,5654,58
"Psychological",13,699,"Drama",4,2636,244
"Psychological",13,699,"Ecchi",5,863,17
"Psychological",13,699,"Fantasy",6,3352,81
"Psychological",13,699,"Hentai",7,1409,5
"Psychological",13,699,"Horror",8,484,92
"Psychological",13,699,"Mahou Shoujo",9,373,18
"Psychological",13,699,"Mecha",10,1068,31
"Psychological",13,699,"Music",11,1826,75
"Psychological",13,699,"Mystery",12,761,160
"Psychological",13,699,"Psychological",13,699,699
"Psychological",13,699,"Romance",14,2198,74
"Psychological",13,699,"Sci-Fi",15,2516,129
"Psychological",13,699,"Slice of Life",16,1988,59
"Psychological",13,699,"Sports",17,720,3
"Psychological",13,699,"Supernatural",18,1397,143
"Psychological",13,699,"Thriller",19,173,76
"Romance",14,2198,"Action",1,3978,403
"Romance",14,2198,"Adventure",2,3058,338
"Romance",14,2198,"Comedy",3,5654,1008
"Romance",14,2198,"Drama",4,2636,779
"Romance",14,2198,"Ecchi",5,863,320
"Romance",14,2198,"Fantasy",6,3352,463
"Romance",14,2198,"Hentai",7,1409,186
"Romance",14,2198,"Horror",8,484,37
"Romance",14,2198,"Mahou Shoujo",9,373,67
"Romance",14,2198,"Mecha",10,1068,97
"Romance",14,2198,"Music",11,1826,133
"Romance",14,2198,"Mystery",12,761,103
"Romance",14,2198,"Psychological",13,699,74
"Romance",14,2198,"Romance",14,2198,2198
"Romance",14,2198,"Sci-Fi",15,2516,295
"Romance",14,2198,"Slice of Life",16,1988,426
"Romance",14,2198,"Sports",17,720,50
"Romance",14,2198,"Supernatural",18,1397,265
"Romance",14,2198,"Thriller",19,173,13
"Sci-Fi",15,2516,"Action",1,3978,1316
"Sci-Fi",15,2516,"Adventure",2,3058,731
"Sci-Fi",15,2516,"Comedy",3,5654,666
"Sci-Fi",15,2516,"Drama",4,2636,541
"Sci-Fi",15,2516,"Ecchi",5,863,132
"Sci-Fi",15,2516,"Fantasy",6,3352,305
"Sci-Fi",15,2516,"Hentai",7,1409,31
"Sci-Fi",15,2516,"Horror",8,484,82
"Sci-Fi",15,2516,"Mahou Shoujo",9,373,43
"Sci-Fi",15,2516,"Mecha",10,1068,801
"Sci-Fi",15,2516,"Music",11,1826,101
"Sci-Fi",15,2516,"Mystery",12,761,139
"Sci-Fi",15,2516,"Psychological",13,699,129
"Sci-Fi",15,2516,"Romance",14,2198,295
"Sci-Fi",15,2516,"Sci-Fi",15,2516,2516
"Sci-Fi",15,2516,"Slice of Life",16,1988,83
"Sci-Fi",15,2516,"Sports",17,720,65
"Sci-Fi",15,2516,"Supernatural",18,1397,128
"Sci-Fi",15,2516,"Thriller",19,173,45
"Slice of Life",16,1988,"Action",1,3978,58
"Slice of Life",16,1988,"Adventure",2,3058,105
"Slice of Life",16,1988,"Comedy",3,5654,1118
"Slice of Life",16,1988,"Drama",4,2636,460
"Slice of Life",16,1988,"Ecchi",5,863,86
"Slice of Life",16,1988,"Fantasy",6,3352,233
"Slice of Life",16,1988,"Hentai",7,1409,3
"Slice of Life",16,1988,"Horror",8,484,7
"Slice of Life",16,1988,"Mahou Shoujo",9,373,31
"Slice of Life",16,1988,"Mecha",10,1068,12
"Slice of Life",16,1988,"Music",11,1826,200
"Slice of Life",16,1988,"Mystery",12,761,36
"Slice of Life",16,1988,"Psychological",13,699,59
"Slice of Life",16,1988,"Romance",14,2198,426
"Slice of Life",16,1988,"Sci-Fi",15,2516,83
"Slice of Life",16,1988,"Slice of Life",16,1988,1988
"Slice of Life",16,1988,"Sports",17,720,96
"Slice of Life",16,1988,"Supernatural",18,1397,150
"Sports",17,720,"Action",1,3978,170
"Sports",17,720,"Adventure",2,3058,41
"Sports",17,720,"Comedy",3,5654,261
"Sports",17,720,"Drama",4,2636,186
"Sports",17,720,"Ecchi",5,863,29
"Sports",17,720,"Fantasy",6,3352,14
"Sports",17,720,"Hentai",7,1409,7
"Sports",17,720,"Horror",8,484,2
"Sports",17,720,"Mahou Shoujo",9,373,3
"Sports",17,720,"Mecha",10,1068,13
"Sports",17,720,"Music",11,1826,26
"Sports",17,720,"Mystery",12,761,4
"Sports",17,720,"Psychological",13,699,3
"Sports",17,720,"Romance",14,2198,50
"Sports",17,720,"Sci-Fi",15,2516,65
"Sports",17,720,"Slice of Life",16,1988,96
"Sports",17,720,"Sports",17,720,720
"Sports",17,720,"Supernatural",18,1397,8
"Sports",17,720,"Thriller",19,173,1
"Supernatural",18,1397,"Action",1,3978,539
"Supernatural",18,1397,"Adventure",2,3058,248
"Supernatural",18,1397,"Comedy",3,5654,503
"Supernatural",18,1397,"Drama",4,2636,357
"Supernatural",18,1397,"Ecchi",5,863,120
"Supernatural",18,1397,"Fantasy",6,3352,369
"Supernatural",18,1397,"Hentai",7,1409,62
"Supernatural",18,1397,"Horror",8,484,231
"Supernatural",18,1397,"Mahou Shoujo",9,373,14
"Supernatural",18,1397,"Mecha",10,1068,23
"Supernatural",18,1397,"Music",11,1826,36
"Supernatural",18,1397,"Mystery",12,761,262
"Supernatural",18,1397,"Psychological",13,699,143
"Supernatural",18,1397,"Romance",14,2198,265
"Supernatural",18,1397,"Sci-Fi",15,2516,128
"Supernatural",18,1397,"Slice of Life",16,1988,150
"Supernatural",18,1397,"Sports",17,720,8
"Supernatural",18,1397,"Supernatural",18,1397,1397
"Supernatural",18,1397,"Thriller",19,173,54
"Thriller",19,173,"Action",1,3978,83
"Thriller",19,173,"Adventure",2,3058,17
"Thriller",19,173,"Comedy",3,5654,12
"Thriller",19,173,"Drama",4,2636,80
"Thriller",19,173,"Ecchi",5,863,4
"Thriller",19,173,"Fantasy",6,3352,22
"Thriller",19,173,"Hentai",7,1409,1
"Thriller",19,173,"Horror",8,484,41
"Thriller",19,173,"Mahou Shoujo",9,373,9
"Thriller",19,173,"Mecha",10,1068,10
"Thriller",19,173,"Music",11,1826,1
"Thriller",19,173,"Mystery",12,761,80
"Thriller",19,173,"Psychological",13,699,76
"Thriller",19,173,"Romance",14,2198,13
"Thriller",19,173,"Sci-Fi",15,2516,45
"Thriller",19,173,"Sports",17,720,1
"Thriller",19,173,"Supernatural",18,1397,54
"Thriller",19,173,"Thriller",19,173,173
